"","TimeEST","TemperatureC","Dew.PointC","Humidity","Sea.Level.PressurehPa","VisibilityKm","Wind.Direction","Wind.SpeedKm.h","Gust.SpeedKm.h","Precipitationmm","Events","Conditions","WindDirDegrees","DateUTC","tmp_date"
"1",00:51:00,5.6,-3.9,51,1017.9,16.1,"Variable","7.4","-","N/A",NA,"Overcast",0,"2016-01-01 5:51","010100"
"2",01:51:00,5,-3.9,53,1017.8,16.1,"Variable","5.6","-","N/A",NA,"Overcast",0,"2016-01-01 6:51","010101"
"3",02:51:00,5,-3.3,55,1017.7,16.1,"West","7.4","-","N/A",NA,"Overcast",280,"2016-01-01 7:51","010102"
"4",03:51:00,5,-3.3,55,1017.7,16.1,"West","14.8","-","N/A",NA,"Overcast",280,"2016-01-01 8:51","010103"
"5",04:51:00,4.4,-3.3,58,1017,16.1,"West","16.7","25.9","N/A",NA,"Overcast",270,"2016-01-01 9:51","010104"
"6",05:51:00,4.4,-3.3,58,1017.5,16.1,"WNW","11.1","-","N/A",NA,"Overcast",290,"2016-01-01 10:51","010105"
"7",06:51:00,3.9,-3.3,60,1017.7,16.1,"Calm","Calm","-","N/A",NA,"Overcast",0,"2016-01-01 11:51","010106"
"8",07:51:00,3.9,-3.9,57,1017.6,16.1,"West","11.1","-","N/A",NA,"Overcast",280,"2016-01-01 12:51","010107"
"9",08:51:00,3.9,-4.4,55,1018,16.1,"West","11.1","-","N/A",NA,"Partly Cloudy",260,"2016-01-01 13:51","010108"
"10",09:51:00,4.4,-3.9,55,1018,16.1,"WNW","7.4","-","N/A",NA,"Overcast",290,"2016-01-01 14:51","010109"
"11",10:51:00,4.4,-4.4,53,1017.4,16.1,"Variable","9.3","31.5","N/A",NA,"Overcast",0,"2016-01-01 15:51","010110"
"12",11:51:00,4.4,-5,51,1016.4,16.1,"West","14.8","-","N/A",NA,"Overcast",270,"2016-01-01 16:51","010111"
"13",12:51:00,4.4,-5,51,1015.4,16.1,"West","22.2","31.5","N/A",NA,"Overcast",280,"2016-01-01 17:51","010112"
"14",13:51:00,4.4,-5,51,1014.9,16.1,"Variable","11.1","35.2","N/A",NA,"Overcast",0,"2016-01-01 18:51","010113"
"15",14:51:00,3.9,-6.1,49,1015,16.1,"WNW","18.5","42.6","N/A",NA,"Overcast",290,"2016-01-01 19:51","010114"
"16",15:51:00,3.9,-6.7,46,1014.9,16.1,"North","-9999","-","N/A",NA,"Overcast",0,"2016-01-01 20:51","010115"
"17",16:51:00,3.3,-6.7,48,1014.8,16.1,"West","18.5","29.6","N/A",NA,"Clear",280,"2016-01-01 21:51","010116"
"18",17:51:00,3.3,-6.7,48,1015.3,16.1,"WNW","13","31.5","N/A",NA,"Clear",300,"2016-01-01 22:51","010117"
"19",18:51:00,2.8,-6.7,50,1015.9,16.1,"WNW","20.4","29.6","N/A",NA,"Partly Cloudy",290,"2016-01-01 23:51","010118"
"20",19:51:00,2.8,-7.2,48,1016.5,16.1,"West","14.8","25.9","N/A",NA,"Clear",280,"2016-01-02 0:51","010119"
"21",20:51:00,2.2,-7.2,50,1016.8,16.1,"WNW","11.1","-","N/A",NA,"Clear",290,"2016-01-02 1:51","010120"
"22",21:51:00,1.7,-6.7,54,1016.6,16.1,"North","-9999","-","N/A",NA,"Clear",0,"2016-01-02 2:51","010121"
"23",22:51:00,1.7,-7.2,52,1016.7,16.1,"Variable","9.3","-","N/A",NA,"Clear",0,"2016-01-02 3:51","010122"
"24",23:51:00,1.7,-8.9,46,1016.8,16.1,"West","14.8","31.5","N/A",NA,"Clear",270,"2016-01-02 4:51","010123"
"25",00:51:00,1.1,-9.4,46,1016.6,16.1,"Variable","9.3","29.6","N/A",NA,"Mostly Cloudy",0,"2016-01-02 5:51","010200"
"26",01:51:00,1.1,-8.9,48,1016.6,16.1,"West","13","25.9","N/A",NA,"Clear",270,"2016-01-02 6:51","010201"
"27",02:51:00,1.1,-8.3,50,1017.3,16.1,"WNW","13","-","N/A",NA,"Clear",290,"2016-01-02 7:51","010202"
"28",03:51:00,1.1,-8.3,50,1016.9,16.1,"West","22.2","33.3","N/A",NA,"Clear",280,"2016-01-02 8:51","010203"
"29",04:51:00,0.6,-7.8,54,1017.1,16.1,"West","16.7","25.9","N/A",NA,"Clear",280,"2016-01-02 9:51","010204"
"30",05:51:00,0.6,-7.8,54,1017.4,16.1,"West","14.8","-","N/A",NA,"Clear",270,"2016-01-02 10:51","010205"
"31",06:51:00,0.6,-7.8,54,1017.9,16.1,"Calm","Calm","-","N/A",NA,"Scattered Clouds",0,"2016-01-02 11:51","010206"
"32",07:51:00,1.1,-7.8,52,1018.3,16.1,"West","7.4","-","N/A",NA,"Overcast",270,"2016-01-02 12:51","010207"
"33",08:51:00,1.1,-8.3,50,1018.8,16.1,"West","11.1","-","N/A",NA,"Overcast",260,"2016-01-02 13:51","010208"
"34",09:51:00,1.7,-8.3,48,1019.2,16.1,"Variable","9.3","-","N/A",NA,"Overcast",0,"2016-01-02 14:51","010209"
"35",10:51:00,2.8,-7.8,46,1018.5,16.1,"Variable","9.3","-","N/A",NA,"Overcast",0,"2016-01-02 15:51","010210"
"36",11:51:00,2.8,-8.3,44,1017.5,16.1,"Variable","7.4","25.9","N/A",NA,"Scattered Clouds",0,"2016-01-02 16:51","010211"
"37",12:51:00,3.3,-8.3,43,1016.1,16.1,"WNW","13","-","N/A",NA,"Scattered Clouds",290,"2016-01-02 17:51","010212"
"38",13:51:00,3.9,-7.8,43,1015.5,16.1,"WSW","13","-","N/A",NA,"Clear",250,"2016-01-02 18:51","010213"
"39",14:51:00,3.9,-7.2,45,1015.1,16.1,"WNW","14.8","27.8","N/A",NA,"Clear",290,"2016-01-02 19:51","010214"
"40",15:51:00,4.4,-7.2,43,1015.4,16.1,"WNW","11.1","-","N/A",NA,"Overcast",290,"2016-01-02 20:51","010215"
"41",16:51:00,3.9,-7.8,43,1015.7,16.1,"Variable","11.1","-","N/A",NA,"Overcast",0,"2016-01-02 21:51","010216"
"42",17:51:00,2.8,-8.3,44,1016.1,16.1,"NW","9.3","27.8","N/A",NA,"Clear",310,"2016-01-02 22:51","010217"
"43",18:51:00,2.2,-8.3,46,1016.3,16.1,"Calm","Calm","-","N/A",NA,"Clear",0,"2016-01-02 23:51","010218"
"44",19:51:00,2.2,-8.3,46,1016.2,16.1,"WNW","11.1","-","N/A",NA,"Clear",290,"2016-01-03 0:51","010219"
"45",20:51:00,1.7,-7.8,50,1015.8,16.1,"WSW","7.4","-","N/A",NA,"Clear",240,"2016-01-03 1:51","010220"
"46",21:51:00,2.2,-7.8,48,1015.3,16.1,"North","-9999","-","N/A",NA,"Clear",0,"2016-01-03 2:51","010221"
"47",22:51:00,1.7,-7.2,52,1014.8,16.1,"Variable","11.1","-","N/A",NA,"Clear",0,"2016-01-03 3:51","010222"
"48",23:51:00,2.2,-6.7,52,1014.4,16.1,"WSW","13","-","N/A",NA,"Clear",250,"2016-01-03 4:51","010223"
"49",00:51:00,1.7,-6.7,54,1013.6,16.1,"Calm","Calm","-","N/A",NA,"Clear",0,"2016-01-03 5:51","010300"
"50",01:51:00,2.2,-6.7,52,1013,16.1,"West","18.5","-","N/A",NA,"Clear",260,"2016-01-03 6:51","010301"
"51",02:51:00,2.2,-6.7,52,1012.2,16.1,"WSW","11.1","25.9","N/A",NA,"Clear",240,"2016-01-03 7:51","010302"
"52",03:51:00,2.2,-6.7,52,1011.1,16.1,"North","-9999","-","N/A",NA,"Clear",0,"2016-01-03 8:51","010303"
"53",04:51:00,2.8,-6.7,50,1011.1,16.1,"Variable","11.1","38.9","N/A",NA,"Clear",0,"2016-01-03 9:51","010304"
"54",05:51:00,2.2,-6.7,52,1010.4,16.1,"Variable","7.4","-","N/A",NA,"Clear",0,"2016-01-03 10:51","010305"
"55",06:51:00,1.7,-6.1,57,1010.7,16.1,"WSW","7.4","-","N/A",NA,"Clear",250,"2016-01-03 11:51","010306"
"56",07:51:00,2.2,-6.1,55,1010.8,16.1,"Variable","7.4","-","N/A",NA,"Clear",0,"2016-01-03 12:51","010307"
"57",08:51:00,3.3,-6.1,51,1010.8,16.1,"WSW","16.7","27.8","N/A",NA,"Clear",240,"2016-01-03 13:51","010308"
"58",09:51:00,3.9,-6.1,49,1010.9,16.1,"North","-9999","-","N/A",NA,"Clear",0,"2016-01-03 14:51","010309"
